Id,MAC,Entering,Leaving,Staying,PathLength,Speed,Points,Redundancy,GridCoverage,HilbertCoverage,LogisticCoverage,l0PLUMBING,l1ELECTRICITY,l2UNNAMED,l3WOOD,l4PAINTINGS,l5CERAMICS,l6BUILDING,l7UNDEFINED_AREA,FOOVARIABLETOBEPREDICTED
20,13227845204694,2017-03-29 16:38:50 UTC,2017-03-29 16:53:23 UTC,873.0,104.0,0.119129438717,3,14.9425287356,0.375,0.375,0.357142857143,0.0,8.65384615385,32.6923076923,0.0,0.0,25.9615384615,28.8461538462,3.84615384615,0
21,13227845204694,2017-03-30 14:45:43 UTC,2017-03-30 15:12:01 UTC,1578.0,203.0,0.128643852978,8,25.0,0.6875,0.6875,0.428571428571,0.0,38.9162561576,16.7487684729,0.0,11.3300492611,14.2857142857,11.3300492611,7.38916256158,0
22,13227845204694,2017-03-31 10:35:52 UTC,2017-03-31 10:59:24 UTC,1412.0,165.0,0.116855524079,6,26.9230769231,0.5,0.5,0.428571428571,0.0,19.3939393939,20.6060606061,0.0,18.7878787879,14.5454545455,12.1212121212,14.5454545455,0
23,13227860560646,2017-03-29 10:42:42 UTC,2017-03-29 10:48:08 UTC,326.0,177.0,0.542944785276,4,33.5877862595,0.5,0.5,0.357142857143,0.0,14.1242937853,20.9039548023,0.0,0.0,18.6440677966,33.8983050847,12.4293785311,0
24,13227860560646,2017-03-31 06:20:40 UTC,2017-03-31 06:33:49 UTC,789.0,92.0,0.116603295311,5,17.9487179487,0.375,0.375,0.357142857143,0.0,3.26086956522,36.9565217391,0.0,0.0,28.2608695652,25.0,6.52173913043,0
25,13240853888771,2017-03-31 06:18:42 UTC,2017-03-31 06:25:41 UTC,419.0,144.0,0.343675417661,5,20.0,0.375,0.375,0.285714285714,0.0,29.8611111111,39.5833333333,0.0,0.0,26.3888888889,0.0,4.16666666667,0
26,13281997842234,2017-04-01 06:25:49 UTC,2017-04-01 06:34:01 UTC,492.0,149.0,0.302845528455,4,12.8787878788,0.5,0.5,0.428571428571,0.0,15.4362416107,24.8322147651,0.0,10.7382550336,11.4093959732,26.8456375839,10.7382550336,0
27,13287442938568,2017-03-30 13:32:22 UTC,2017-03-30 13:41:42 UTC,560.0,158.0,0.282142857143,5,29.9145299145,0.3125,0.3125,0.357142857143,0.0,5.69620253165,21.5189873418,0.0,0.0,62.6582278481,3.16455696203,6.96202531646,0
28,13429530887035,2017-04-05 15:46:49 UTC,2017-04-05 16:02:41 UTC,952.0,265.0,0.278361344538,10,27.3684210526,0.625,0.625,0.428571428571,12.0754716981,41.5094339623,13.5849056604,0.0,0.0,24.1509433962,1.88679245283,6.79245283019,0
29,13747876723542,2017-04-05 09:41:40 UTC,2017-04-05 09:48:10 UTC,390.0,91.0,0.233333333333,2,12.3456790123,0.375,0.375,0.428571428571,7.69230769231,14.2857142857,37.3626373626,2.1978021978,2.1978021978,0.0,0.0,36.2637362637,0
30,14090496640354,2017-03-28 10:34:15 UTC,2017-03-28 11:00:45 UTC,1590.0,198.0,0.124528301887,7,11.8644067797,0.5625,0.5625,0.428571428571,9.09090909091,24.7474747475,17.1717171717,0.0,7.07070707071,18.6868686869,0.0,23.2323232323,0
31,14090497351069,2017-04-04 07:05:52 UTC,2017-04-04 07:26:41 UTC,1249.0,90.0,0.0720576461169,6,26.7605633803,0.5,0.5,0.357142857143,10.0,18.8888888889,43.3333333333,0.0,25.5555555556,0.0,0.0,2.22222222222,0
32,15515905672218,2017-03-28 15:51:47 UTC,2017-03-28 15:56:49 UTC,302.0,93.0,0.307947019868,4,85.7142857143,0.25,0.25,0.142857142857,0.0,59.1397849462,40.8602150538,0.0,0.0,0.0,0.0,0.0,0
33,16462932821140,2017-03-30 10:48:53 UTC,2017-03-30 10:57:48 UTC,535.0,121.0,0.226168224299,2,76.4705882353,0.3125,0.3125,0.357142857143,6.61157024793,21.4876033058,33.8842975207,0.0,0.0,0.0,29.7520661157,8.26446280992,0
34,17732951528316,2017-03-31 09:32:32 UTC,2017-03-31 09:37:35 UTC,303.0,117.0,0.386138613861,4,36.0,0.375,0.375,0.357142857143,0.0,4.2735042735,29.0598290598,0.0,0.0,17.094017094,46.1538461538,3.4188034188,0
35,17865042745915,2017-04-04 16:15:06 UTC,2017-04-04 16:25:16 UTC,610.0,116.0,0.190163934426,3,3.57142857143,0.5,0.5,0.357142857143,0.0,22.4137931034,30.1724137931,0.0,0.0,22.4137931034,19.8275862069,5.1724137931,0
36,18084290585301,2017-04-06 05:40:54 UTC,2017-04-06 05:57:34 UTC,1000.0,160.0,0.16,5,11.1111111111,0.625,0.75,0.5,10.0,8.125,21.25,0.0,24.375,18.125,3.125,15.0,0
37,18084290597903,2017-04-01 10:28:31 UTC,2017-04-01 10:35:49 UTC,438.0,179.0,0.408675799087,6,38.3333333333,0.5,0.5,0.428571428571,23.4636871508,14.5251396648,30.7262569832,0.0,0.0,10.6145251397,15.0837988827,5.58659217877,0
38,18230984501443,2017-03-29 06:39:38 UTC,2017-03-29 06:50:44 UTC,666.0,161.0,0.241741741742,6,15.9420289855,0.375,0.375,0.428571428571,0.0,1.86335403727,21.1180124224,0.0,9.93788819876,37.8881987578,19.2546583851,9.93788819876,0
39,18230984501443,2017-03-30 06:10:15 UTC,2017-03-30 06:39:31 UTC,1756.0,94.0,0.0535307517084,5,6.89655172414,0.5,0.5,0.5,12.7659574468,4.25531914894,15.9574468085,0.0,17.0212765957,9.57446808511,28.7234042553,11.7021276596,0
40,18230984501443,2017-04-06 05:58:17 UTC,2017-04-06 06:07:05 UTC,528.0,160.0,0.30303030303,5,48.0,0.375,0.375,0.428571428571,0.0,0.0,18.75,6.25,5.0,5.625,35.0,29.375,0
41,18324285830041,2017-04-04 07:20:22 UTC,2017-04-04 07:36:51 UTC,989.0,121.0,0.122345803842,4,22.2222222222,0.4375,0.4375,0.357142857143,0.0,19.0082644628,28.0991735537,0.0,0.0,23.1404958678,19.8347107438,9.9173553719,0
42,22535547054073,2017-04-05 09:48:35 UTC,2017-04-05 10:02:57 UTC,862.0,58.0,0.0672853828306,4,23.4042553191,0.25,0.25,0.142857142857,0.0,37.9310344828,62.0689655172,0.0,0.0,0.0,0.0,0.0,0
43,22535552907048,2017-03-29 10:36:52 UTC,2017-03-29 10:55:25 UTC,1113.0,317.0,0.284815813118,10,17.1641791045,0.875,0.9375,0.571428571429,16.7192429022,9.14826498423,11.6719242902,14.5110410095,25.5520504732,5.04731861199,6.94006309148,10.4100946372,0
44,22535552949905,2017-03-28 14:18:00 UTC,2017-03-28 14:24:33 UTC,393.0,127.0,0.323155216285,6,10.5263157895,0.4375,0.4375,0.428571428571,0.0,3.93700787402,29.1338582677,0.0,17.3228346457,20.4724409449,21.2598425197,7.87401574803,0
45,22535552949905,2017-03-29 05:31:03 UTC,2017-03-29 05:44:05 UTC,782.0,207.0,0.264705882353,6,36.1842105263,0.5,0.5,0.571428571429,3.86473429952,12.5603864734,17.8743961353,1.44927536232,0.966183574879,25.6038647343,17.3913043478,20.2898550725,0
46,22535552949905,2017-03-29 10:56:53 UTC,2017-03-29 11:02:43 UTC,350.0,84.0,0.24,3,6.32911392405,0.5,0.5,0.428571428571,0.0,15.4761904762,22.619047619,0.0,36.9047619048,10.7142857143,9.52380952381,4.7619047619,0
47,22535552949905,2017-03-30 08:50:08 UTC,2017-03-30 09:03:38 UTC,810.0,214.0,0.264197530864,5,12.6984126984,0.625,0.625,0.5,0.0,2.80373831776,15.8878504673,23.3644859813,15.4205607477,15.8878504673,7.00934579439,19.6261682243,0
48,22535552949905,2017-04-03 07:58:56 UTC,2017-04-03 08:21:00 UTC,1324.0,155.0,0.117069486405,11,36.6972477064,0.375,0.375,0.357142857143,0.0,3.87096774194,21.935483871,0.0,0.0,23.2258064516,48.3870967742,2.58064516129,0
49,22535552949905,2017-04-03 10:51:08 UTC,2017-04-03 11:03:32 UTC,744.0,122.0,0.163978494624,7,39.0243902439,0.375,0.375,0.285714285714,0.0,0.0,28.6885245902,0.0,0.0,13.9344262295,54.0983606557,3.27868852459,0
50,22535552949905,2017-04-04 09:07:23 UTC,2017-04-04 09:14:28 UTC,425.0,85.0,0.2,4,27.2727272727,0.3125,0.3125,0.357142857143,0.0,5.88235294118,41.1764705882,0.0,0.0,36.4705882353,9.41176470588,7.05882352941,0
51,22535552949905,2017-04-05 06:58:54 UTC,2017-04-05 07:40:56 UTC,2522.0,265.0,0.105075337034,12,50.6493506494,0.5,0.5,0.357142857143,0.0,0.0,13.2075471698,0.0,31.6981132075,36.6037735849,12.4528301887,6.03773584906,0
52,22535552949905,2017-04-06 05:14:10 UTC,2017-04-06 05:22:12 UTC,482.0,90.0,0.186721991701,3,16.8831168831,0.375,0.375,0.357142857143,0.0,6.66666666667,37.7777777778,0.0,0.0,23.3333333333,27.7777777778,4.44444444444,0
53,22535553608952,2017-03-29 05:22:27 UTC,2017-03-29 05:39:11 UTC,1004.0,88.0,0.0876494023904,5,37.0967741935,0.1875,0.1875,0.214285714286,0.0,0.0,46.5909090909,0.0,0.0,0.0,48.8636363636,4.54545454545,0
54,22698178854718,2017-04-04 14:29:52 UTC,2017-04-04 14:53:52 UTC,1440.0,113.0,0.0784722222222,6,67.2727272727,0.25,0.25,0.285714285714,0.0,0.0,26.5486725664,0.0,0.0,14.1592920354,55.7522123894,3.53982300885,0
55,22806568044791,2017-04-03 15:30:01 UTC,2017-04-03 15:35:55 UTC,354.0,113.0,0.319209039548,2,3.66972477064,0.5,0.5,0.285714285714,35.3982300885,24.7787610619,33.6283185841,0.0,0.0,0.0,0.0,6.19469026549,0
56,24444545270757,2017-03-28 09:26:35 UTC,2017-03-28 09:39:28 UTC,773.0,113.0,0.146183699871,4,11.8811881188,0.3125,0.3125,0.285714285714,27.4336283186,29.203539823,38.0530973451,0.0,0.0,0.0,0.0,5.30973451327,0
57,26839038751658,2017-03-31 14:11:49 UTC,2017-03-31 14:24:35 UTC,766.0,217.0,0.283289817232,7,4.85436893204,0.8125,0.8125,0.5,21.198156682,23.5023041475,26.7281105991,0.0,1.38248847926,13.8248847926,7.83410138249,5.52995391705,0
58,26839045797594,2017-04-05 06:03:00 UTC,2017-04-05 06:12:16 UTC,556.0,81.0,0.145683453237,2,14.0845070423,0.3125,0.3125,0.214285714286,0.0,0.0,43.2098765432,0.0,0.0,0.0,49.3827160494,7.40740740741,0
59,27288915422721,2017-04-05 05:44:50 UTC,2017-04-05 05:53:52 UTC,542.0,122.0,0.225092250923,5,2.52100840336,0.625,0.625,0.428571428571,0.0,31.9672131148,20.4918032787,14.7540983607,0.0,7.37704918033,4.09836065574,21.3114754098,0
60,27428582032314,2017-04-03 05:12:44 UTC,2017-04-03 05:22:54 UTC,610.0,61.0,0.1,2,39.5348837209,0.125,0.125,0.214285714286,0.0,0.0,57.3770491803,0.0,0.0,0.0,36.0655737705,6.55737704918,0
61,27428582032314,2017-04-03 06:45:02 UTC,2017-04-03 06:53:13 UTC,491.0,105.0,0.213849287169,2,11.7021276596,0.375,0.375,0.428571428571,0.0,11.4285714286,32.380952381,0.0,15.2380952381,12.380952381,20.9523809524,7.61904761905,0
62,27428582032314,2017-04-03 07:57:57 UTC,2017-04-03 08:28:52 UTC,1855.0,57.0,0.0307277628032,2,32.5581395349,0.25,0.25,0.142857142857,0.0,31.5789473684,68.4210526316,0.0,0.0,0.0,0.0,0.0,0
63,27428582032314,2017-04-03 09:33:40 UTC,2017-04-03 10:03:41 UTC,1801.0,207.0,0.114936146585,6,25.4777070064,0.5,0.5,0.5,10.6280193237,21.7391304348,21.2560386473,0.0,14.0096618357,14.0096618357,3.38164251208,14.9758454106,0
64,27428582032314,2017-04-04 06:33:07 UTC,2017-04-04 07:15:30 UTC,2543.0,46.0,0.0180888714117,3,2.22222222222,0.25,0.25,0.142857142857,0.0,34.7826086957,65.2173913043,0.0,0.0,0.0,0.0,0.0,0
65,27428582032314,2017-04-04 09:19:27 UTC,2017-04-04 10:50:51 UTC,5484.0,485.0,0.0884390955507,28,39.2857142857,0.875,0.875,0.571428571429,17.7319587629,30.1030927835,10.3092783505,17.7319587629,6.59793814433,2.47422680412,4.32989690722,10.7216494845,0
66,28805552984248,2017-04-06 09:07:19 UTC,2017-04-06 09:12:27 UTC,308.0,91.0,0.295454545455,2,13.75,0.375,0.4375,0.357142857143,0.0,5.49450549451,37.3626373626,0.0,0.0,25.2747252747,27.4725274725,4.3956043956,0
67,29407142295525,2017-03-28 10:42:47 UTC,2017-03-28 11:06:44 UTC,1437.0,107.0,0.0744606819763,2,3.88349514563,0.375,0.375,0.285714285714,0.0,28.0373831776,39.2523364486,0.0,0.0,28.9719626168,0.0,3.73831775701,0
68,29407153574666,2017-03-29 15:04:09 UTC,2017-03-29 15:22:56 UTC,1127.0,119.0,0.105590062112,2,41.6666666667,0.5,0.5,0.357142857143,12.6050420168,18.487394958,31.9327731092,0.0,0.0,15.1260504202,0.0,21.8487394958,0
